_id,Automation Probability,Label,SOC code,Occupation
1,0.0028,,291125,Recreational Therapists
2,0.003,,491011,"FirstLine Supervisors of Mechanics, Installers, and Repairers"
3,0.003,,119161,Emergency Management Directors
4,0.0031,,211023,Mental Health and Substance Abuse Social Workers
5,0.0033,,291181,Audiologists
6,0.0035,,291122,Occupational Therapists
7,0.0035,,292091,Orthotists and Prosthetists
8,0.0035,,211022,Healthcare Social Workers
9,0.0036,,291022,Oral and Maxillofacial Surgeons
10,0.0036,,331021,FirstLine Supervisors of Fire Fighting and Prevention Workers
11,0.0039,,291031,Dietitians and Nutritionists
12,0.0039,,119081,Lodging Managers
13,0.004,,272032,Choreographers
14,0.0041,,419031,Sales Engineers
15,0.0042,0,291060,Physicians and Surgeons
16,0.0042,,259031,Instructional Coordinators
17,0.0043,,193039,"Psychologists, All Other"
18,0.0044,,331012,FirstLine Supervisors of Police and Detectives
19,0.0044,0,291021,"Dentists, General"
20,0.0044,,252021,"Elementary School Teachers, Except Special Education"
21,0.0045,,191042,"Medical Scientists, Except Epidemiologists"
22,0.0046,,119032,"Education Administrators, Elementary and Secondary School"
23,0.0046,,291081,Podiatrists
24,0.0047,,193031,"Clinical, Counseling, and School Psychologists"
25,0.0048,,211014,Mental Health Counselors
26,0.0049,,516092,Fabric and Apparel Patternmakers
27,0.0055,,271027,Set and Exhibit Designers
28,0.0055,,113121,Human Resources Managers
29,0.0061,,399032,Recreation Workers
30,0.0063,,113131,Training and Development Managers
31,0.0064,,291127,SpeechLanguage Pathologists
32,0.0065,,151121,Computer Systems Analysts
33,0.0067,0,119151,Social and Community Service Managers
34,0.0068,,254012,Curators
35,0.0071,,299091,Athletic Trainers
36,0.0073,,119111,Medical and Health Services Managers
37,0.0074,0,252011,"Preschool Teachers, Except Special Education"
38,0.0075,,259021,Farm and Home Management Advisors
39,0.0077,,193091,Anthropologists and Archeologists
40,0.0077,,252054,"Special Education Teachers, Secondary School"
41,0.0078,,252031,"Secondary School Teachers, Except Special and Career/Technical Education"
42,0.0081,0,212011,Clergy
43,0.0081,,191032,Foresters
44,0.0085,,211012,"Educational, Guidance, School, and Vocational Counselors"
45,0.0088,,252032,"Career/Technical Education Teachers, Secondary School"
46,0.009,0,291111,Registered Nurses
47,0.0094,,211015,Rehabilitation Counselors
48,0.0095,,253999,"Teachers and Instructors, All Other"
49,0.0095,,194092,Forensic Science Technicians
50,0.01,,395091,"Makeup Artists, Theatrical and Performance"
51,0.01,,172121,Marine Engineers and Naval Architects
52,0.01,,119033,"Education Administrators, Postsecondary"
